nutzungsart;vermarktungsart;objektart;neubau;plz;ort;strasse;wohnflaeche;grundstuecksflaeche;anzahl_zimmer;anzahl_schlafzimmer;anzahl_badezimmer;Ursprünglicher Angebotspreis;Angebotspreis;Realer Kaufpreis;baujahr;zustand;etagen_zahl;balkon;terrasse;unterkellert;energieausweisbaujahr;auftragvon;auftragbis;auftragsart;verkauft_am
wohnen;kauf;haus;0;97078;Würzburg;;390.0;736.0;16.0;0;0;0;698000.0;;;Teil- oder vollsaniert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;83.0;1700.0;3.0;0;0;0;260000.0;;1952;;0;0;1;JA;1952;;;;
wohnen;kauf;haus;0;97318;Biebelried;;140.0;0;5.0;0;0;0;258000.0;;2020;Projektiert;2;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97318;Biebelried;;134.0;610.0;4.0;0;0;0;344000.0;;2020;Projektiert;0;0;0;NEIN;2020;;;;
wohnen;kauf;haus;0;97318;Biebelried;;170.0;610.0;6.0;0;0;0;374000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97318;Kitzingen;;170.0;0;7.0;0;0;0;310000.0;;1962;;3;0;0;NEIN;1962;;;;
wohnen;kauf;haus;0;97080;Würzburg;;130.0;409.0;5.0;3;2;0;415000.0;;1974;Teil- oder vollrenovierungsbedürftig;0;1;1;JA;1974;;;;
wohnen;kauf;haus;0;97299;Zell;;250.0;580.0;10.0;0;1;0;850000.0;;1982;Teil- oder vollsaniert;3;0;0;JA;1982;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;190.0;970.0;8.0;5;3;0;529900.0;;1970;;0;1;1;NEIN;1970;;;;
wohnen;kauf;haus;0;97080;Würzburg;;137.0;1575.0;4.0;2;2;0;599000.0;;1971;;0;1;1;NEIN;1971;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;120.0;281.0;4.0;3;2;0;469000.0;;1976;;0;0;1;JA;1976;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;220.0;734.0;7.0;0;0;0;784000.0;;2021;Projektiert;0;0;0;JA;2021;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;240.0;4008.0;9.0;0;1;0;2400000.0;;2000;;2;0;1;NEIN;2000;;;;
wohnen;kauf;haus;0;97295;Waldbrunn;;420.0;640.0;16.0;0;1;0;580000.0;;1974;Teil- oder vollrenoviert;0;1;1;JA;2005;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;119.0;93.0;4.0;0;0;0;205000.0;;1930;;0;1;0;NEIN;1930;;;;
wohnen;kauf;haus;0;97199;Ochsenfurt;;180.0;259.0;5.0;0;0;0;320000.0;;1563;;3;0;0;NEIN;1563;;;;
wohnen;kauf;haus;0;97222;Rimpar;;350.0;1165.0;14.0;0;0;0;860000.0;;;;0;1;0;JA;;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;197.0;1227.0;6.0;0;0;0;475000.0;;1934;;0;0;1;JA;1934;;;;
wohnen;kauf;haus;0;97265;Hettstadt;;140.0;410.0;6.0;0;0;0;;;2021;Erstbezug;3;0;1;NEIN;2021;;;;
wohnen;kauf;haus;0;97252;Frickenhausen;;136.0;125.0;6.0;0;0;0;375000.0;;;Teil- oder vollrenoviert;3;0;0;JA;;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97265;Hettstadt;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;132.0;263.0;5.0;0;0;0;382000.0;;;Projektiert;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;130.0;0;6.0;0;0;0;;;2021;Erstbezug;2;0;1;NEIN;2021;;;;
wohnen;kauf;haus;0;97209;Veitshöchheim;;130.0;0;6.0;0;0;0;;;2021;Erstbezug;2;0;1;NEIN;2021;;;;
wohnen;kauf;haus;0;97337;Dettelbach;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
wohnen;kauf;haus;0;97265;Hettstadt;;193.0;600.0;5.0;0;0;0;429899.0;;;Erstbezug;1;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97222;Rimpar;;210.0;614.0;7.0;0;0;0;675000.0;;1979;;0;1;1;JA;1979;;;;
wohnen;kauf;haus;0;97950;Großrinderfeld;;122.0;731.0;4.0;0;0;0;360480.0;;;;0;0;0;NEIN;;;;;
wohnen;kauf;haus;0;97950;Großrinderfeld;;166.0;530.0;5.0;0;0;0;380599.0;;;Erstbezug;2;0;0;NEIN;;;;;
wohnen;kauf;haus;1;97273;Kürnach;;254.0;774.0;9.0;0;0;0;1330000.0;;2019;Neubau;0;0;1;JA;2019;;;;
wohnen;kauf;haus;0;97320;Sulzfeld;;187.0;126.0;6.0;0;0;0;346500.0;;;Neuwertig;4;1;0;JA;1911;;;;
wohnen;kauf;haus;0;97222;Rimpar;;130.0;130.0;6.0;4;1;0;375000.0;;1999;;0;1;0;JA;1999;;;;
wohnen;kauf;haus;0;97273;Kürnach;;131.0;0;0;0;0;0;;;;Projektiert;0;0;0;JA;;;;;
