GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
1051129;Wesselburenerkoog;3;0;1;0;1;1;0
1051130;Wesseln;20;0;1;0;3;6;6
1051131;Westerborstel;2;.;.;.;.;1;.
1051132;Westerdeichstrich;26;4;3;0;2;11;5
1051133;Wiemerstedt;3;.;0;0;0;2;1
1051134;Windbergen;19;1;2;1;2;6;8
1051135;Wolmersdorf;1;.;0;0;0;0;.
1051136;Wrohm;21;2;2;0;2;4;6
1051137;Nordermeldorf;18;3;0;0;1;5;5
1051138;Tensbüttel-Röst;12;0;0;1;2;4;4
1051139;Süderdorf;6;.;1;0;1;1;2
1051140;Oesterwurth;3;.;.;.;0;0;1
1051141;Süderheistedt;16;2;1;1;2;4;5
1053001;Albsfelde;0;.;.;.;.;.;.
1053002;Alt Mölln;24;7;2;2;3;5;8
1053003;Aumühle;41;15;3;1;2;8;6
1053004;Bäk;10;1;0;0;1;3;1
1053005;Bälau;4;.;0;0;0;2;2
1053006;Basedow;12;3;1;0;0;4;4
1053007;Basthorst;6;0;1;0;1;2;2
1053008;Behlendorf;7;.;0;0;0;1;2
1053009;Berkenthin;30;3;2;1;2;4;13
1053010;Besenthal;.;.;.;.;.;.;.
1053011;Bliestorf;8;1;2;0;1;2;3
1053012;Börnsen;75;19;3;1;6;19;15
1053013;Borstorf;5;.;0;0;1;1;1
1053014;Breitenfelde;49;6;2;3;6;8;18
1053015;Bröthen;4;.;1;0;.;1;1
1053016;Brunsmark;1;0;0;0;0;0;1
1053017;Brunstorf;10;2;2;0;1;0;1
1053018;Buchholz;2;.;0;0;0;0;.
1053019;Buchhorst;2;0;0;0;0;0;0
1053020;Büchen;144;29;11;3;14;25;43
1053021;Dahmker;0;.;.;.;.;0;.
1053022;Dalldorf;5;.;2;0;1;3;1
1053023;Dassendorf;43;6;5;1;5;14;11
1053024;Düchelsdorf;2;.;.;.;.;0;0
1053025;Duvensee;8;1;3;0;0;3;4
1053026;Einhaus;6;1;2;0;.;1;2
1053027;Elmenhorst;14;1;1;0;2;3;4
1053028;Escheburg;62;15;4;1;6;17;15
1053029;Fitzen;6;1;.;.;.;3;4
1053030;Fredeburg;.;.;.;.;.;.;.
1053031;Fuhlenhagen;2;0;0;0;0;1;.
1053032;Geesthacht;1077;370;70;31;110;213;368
1053033;Giesensdorf;2;0;0;0;.;1;.
1053034;Göldenitz;3;.;.;.;0;1;0
1053035;Göttin;1;.;0;0;.;.;.
1053036;Grabau;5;0;0;0;0;3;3
1053037;Grambek;12;3;0;1;4;2;2
1053038;Grinau;1;.;-;-;1;1;.
1053039;Groß Boden;8;2;2;0;1;2;3
1053040;Groß Disnack;3;.;.;.;.;1;1
1053041;Groß Grönau;40;7;3;1;4;11;12
1053042;Groß Pampau;4;.;.;.;.;2;1
1053043;Groß Sarau;11;5;1;1;2;2;2
1053044;Groß Schenkenberg;6;1;1;0;0;1;1
