GENESIS-Tabelle: 13211-01-03-5-B;;;;;;;;
Arbeitslose nach ausgewählten Personengruppen -;;;;;;;;
Jahresdurchschnitt - regionale Ebenen;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
Jahr: 2019;;;;;;;;
;;Arbeitslose insgesamt;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;und zwar;und zwar;und zwar;und zwar;und zwar;und zwar
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
6634003;Felsberg;207;41;24;4;21;48;49
6634004;Frielendorf;110;5;13;3;14;30;23
6634005;Fritzlar;232;43;18;5;27;51;28
6634006;Gilserberg;36;2;3;0;3;9;8
6634007;Gudensberg;139;31;12;3;14;28;24
6634008;Guxhagen;82;15;9;2;8;20;16
6634009;Homberg (Efze);340;92;27;13;48;62;70
6634010;Jesberg;43;3;4;1;3;8;14
6634011;Knüllwald;47;4;4;1;7;11;9
6634012;Körle;41;4;3;1;5;13;14
6634013;Malsfeld;50;8;4;2;6;11;8
6634014;Melsungen;288;93;23;5;33;67;69
6634015;Morschen;57;3;9;1;6;19;16
6634016;Neuental;43;2;6;1;6;8;8
6634017;Neukirchen, Knüll;128;12;8;4;13;26;34
6634018;Niedenstein;51;7;5;0;6;14;5
6634019;Oberaula;55;3;10;1;5;14;17
6634020;Ottrau;28;1;2;1;5;8;4
6634021;Schrecksbach;32;1;2;0;5;8;4
6634022;Schwalmstadt;420;86;26;11;54;91;106
6634023;Schwarzenborn, Knüll;12;4;0;0;3;2;2
6634024;Spangenberg;135;30;15;2;13;35;26
6634025;Wabern;115;21;13;3;16;26;20
6634026;Willingshausen;53;1;5;2;7;12;12
6634027;Bad Zwesten;59;9;5;1;9;17;11
6635001;Allendorf (Eder);75;17;7;0;5;23;16
6635002;Bad Arolsen;393;82;40;8;50;80;126
6635003;Bad Wildungen;454;162;44;12;53;98;113
6635004;Battenberg (Eder);83;18;5;2;8;18;15
6635005;Bromskirchen;33;9;3;1;3;10;4
6635006;Burgwald;64;10;7;1;5;20;14
6635007;Diemelsee;70;10;8;1;7;20;18
6635008;Diemelstadt;98;14;10;4;12;26;28
6635009;Edertal;90;11;16;1;7;32;18
6635010;Frankenau;51;3;6;1;6;18;17
6635011;Frankenberg (Eder);370;83;32;10;45;77;88
6635012;Gemünden (Wohra);71;9;7;2;8;20;17
6635013;Haina (Kloster);35;2;4;1;4;10;9
6635014;Hatzfeld (Eder);39;8;4;0;4;8;9
6635015;Korbach;493;134;55;12;58;129;108
6635016;Lichtenfels, Hess;48;4;8;1;6;18;11
6635017;Rosenthal, Hess;36;8;4;1;6;4;12
6635018;Twistetal;57;14;5;1;8;11;13
6635019;Vöhl;100;12;17;1;8;34;24
6635020;Volkmarsen;151;26;20;6;23;34;40
6635021;Waldeck, Hess;108;15;15;4;11;31;18
6635022;Willingen (Upland);77;16;4;2;7;26;12
6636001;Bad Sooden-Allendorf;187;36;29;3;19;54;61
6636002;Berkatal;14;0;2;0;2;5;3
6636003;Eschwege;684;168;84;14;81;138;175
6636004;Großalmerode;143;12;15;3;19;31;35
6636005;Herleshausen;33;6;5;1;3;10;7
6636006;Hessisch Lichtenau;280;76;28;4;26;58;66
6636007;Meinhard;64;5;7;0;4;23;15
6636008;Meißner;41;3;5;1;5;11;8
6636009;Neu-Eichenberg;29;3;3;0;2;7;5
6636010;Ringgau;40;3;4;1;4;11;11
6636011;Sontra;201;55;19;4;26;43;47
6636012;Waldkappel;83;10;11;1;8;25;30
6636013;Wanfried;111;7;13;3;14;31;31
6636014;Wehretal;71;6;12;3;9;17;14
6636015;Weißenborn b Eschwege;19;1;2;0;2;7;3
6636016;Witzenhausen;461;105;36;5;46;103;126
6636200;Gutsbezirk Kaufunger Wald;x;x;x;x;x;x;x
7111000;Koblenz, krsfr. Stadt;3421;1142;150;55;307;616;965
7131001;Adenau;53;17;4;0;5;9;10
7131002;Ahrbrück;14;2;0;0;1;5;3
7131003;Altenahr;28;9;2;0;3;6;5
7131004;Antweiler;9;1;0;0;0;3;2
7131005;Aremberg;4;0;0;0;0;2;1
7131006;Bad Breisig;300;121;16;5;33;66;76
7131007;Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde;539;221;26;9;49;115;106
7131008;Barweiler;4;.;1;0;0;1;0
7131009;Bauler b Barweiler;1;.;-;-;.;0;.
7131011;Berg, Kr Ahrweiler;23;5;3;0;1;6;5
7131014;Brohl-Lützing;54;16;5;1;5;12;10
7131015;Dankerath;1;0;-;-;0;.;.
7131016;Dedenbach;5;.;0;0;2;2;2
7131017;Dernau;15;3;1;0;1;5;3
7131018;Dorsel;2;.;-;-;1;0;.
7131021;Eichenbach;1;.;-;-;.;0;.
7131022;Fuchshofen;0;.;-;-;.;.;.
7131025;Gönnersdorf, Kr Ahrweiler;7;2;1;0;1;1;1
7131026;Harscheid;3;1;-;-;.;1;1
7131027;Heckenbach;2;.;-;-;0;1;0
7131028;Herschbroich;4;0;-;-;0;1;1
7131029;Hönningen;7;1;1;0;0;1;1
7131030;Hoffeld, Eifel;4;0;-;-;.;1;1
7131032;Honerath;4;1;1;0;0;2;1
7131033;Hümmel;2;.;-;-;1;.;0
7131034;Insul;6;.;0;0;1;1;0
7131036;Kalenborn, Kr Ahrweiler;6;0;-;-;1;4;2
7131037;Kaltenborn;2;.;-;-;.;0;0
7131039;Kesseling;12;1;1;0;2;5;2
7131040;Kirchsahr;6;1;1;0;0;2;1
7131041;Königsfeld, Eifel;12;1;2;0;0;5;2
7131042;Kottenborn;5;1;0;0;1;1;1
7131044;Leimbach b Adenau;10;1;1;0;0;3;1
7131047;Lind, Kr Ahrweiler;8;1;0;0;1;3;1
7131049;Mayschoß;21;3;0;0;3;6;4
7131050;Meuspath;2;.;0;0;0;1;.
7131051;Müllenbach b Adenau;5;1;1;0;1;2;.
7131052;Müsch;2;0;-;-;0;1;0
7131054;Niederdürenbach;17;1;0;1;2;9;6
7131055;Niederzissen;37;3;4;1;4;7;9
7131058;Nürburg;2;0;-;-;0;1;.
7131059;Oberdürenbach;16;2;2;0;0;8;6
7131060;Oberzissen;17;3;0;0;3;4;5
7131062;Ohlenhard;1;.;-;-;0;.;.
7131065;Pomster;2;.;-;-;.;.;.
7131066;Quiddelbach;3;.;0;0;0;0;1
7131068;Rech;13;2;-;-;1;4;3
7131069;Reifferscheid;7;1;1;0;1;2;1
7131070;Remagen, verbandsfr. Gemeinde;340;122;21;8;33;80;86
7131072;Rodder;3;.;-;-;.;2;1
7131073;Schalkenbach;17;2;1;0;0;4;6
7131074;Schuld;15;3;0;1;3;4;4
7131075;Senscheid;1;0;-;-;0;.;.
7131076;Sierscheid;0;.;-;-;.;0;.
7131077;Sinzig, verbandsfr. Gemeinde;381;137;19;7;38;73;96
7131079;Trierscheid;0;.;-;-;.;0;.
7131081;Waldorf;14;4;1;0;2;4;3
7131082;Wershofen;10;0;1;0;1;4;1
7131083;Wiesemscheid;3;.;0;1;1;2;0
7131084;Wimbach;6;0;-;-;1;1;1
7131085;Winnerath;3;.;-;-;0;1;0
7131086;Wirft;1;0;-;-;0;.;.
7131090;Grafschaft, verbandsfr. Gemeinde;138;28;6;3;13;41;28
7131201;Brenk;0;.;-;-;.;0;.
7131202;Burgbrohl;77;16;9;2;7;14;16
7131204;Galenberg;4;.;-;-;.;0;1
7131205;Glees;10;1;0;0;1;2;2
7131206;Hohenleimbach;4;0;0;0;0;1;0
7131208;Spessart;10;0;0;0;1;2;2
7131209;Wassenach;18;0;0;0;2;5;4
7131210;Wehr, Eifel;14;1;1;0;1;6;4
7131211;Weibern;18;2;1;0;2;6;4
7131501;Dümpelfeld;7;2;1;0;1;2;0
7131502;Kempenich;20;6;1;0;3;5;3
7132001;Almersbach;10;1;2;0;2;3;3
7132002;Alsdorf;42;9;2;2;3;10;14
7132004;Bachenberg;3;0;1;0;0;.;1
7132005;Berzhausen;6;.;-;-;0;1;1
7132006;Betzdorf, Stadt;472;170;32;8;45;99;158
7132007;Birkenbeul;8;0;0;0;1;2;3
7132008;Birken-Honigsessen;28;1;3;0;3;7;7
7132009;Birnbach;12;1;1;1;1;3;4
7132010;Bitzen;13;2;0;0;1;3;3
7132011;Mittelhof;21;1;2;0;1;4;10
7132012;Brachbach;37;2;5;1;3;10;16
7132013;Breitscheidt;26;2;1;1;3;10;10
7132014;Bruchertseifen;16;1;2;0;4;2;4
7132015;Bürdenbach;2;.;0;0;0;2;1
7132016;Burglahr;16;3;1;0;1;3;5
7132017;Busenhausen;4;1;-;-;0;1;.
7132018;Daaden;86;18;6;3;8;22;30
7132019;Derschen;19;1;2;1;4;6;7
7132020;Dickendorf;6;1;2;0;1;2;3
7132022;Eichelhardt;4;.;-;-;0;1;1
7132023;Eichen;10;2;3;1;2;3;2
7132024;Elben;6;1;2;0;0;2;2
7132025;Elkenroth;30;3;3;0;3;10;11
7132026;Emmerzhausen;9;2;2;0;1;4;3
7132027;Ersfeld;1;.;-;-;0;.;.
7132028;Etzbach;32;0;0;1;4;4;7
7132029;Eulenberg;1;.;0;0;0;.;.
7132030;Fensdorf;9;2;1;0;0;4;4
7132031;Fiersbach;3;.;-;-;.;1;0
7132032;Flammersfeld;29;4;4;0;5;11;5
7132033;Fluterschen;15;2;1;1;2;3;4
7132034;Forst b Wissen, Sieg;12;.;-;-;1;1;4
7132035;Forstmehren;6;.;0;0;1;2;1
7132036;Friedewald, Westerwald;15;1;2;0;1;6;6
7132037;Friesenhagen;22;1;1;0;1;8;9
7132038;Fürthen;31;3;3;0;2;12;11
7132039;Gebhardshain;30;6;2;1;3;6;13
7132040;Gieleroth;8;0;1;0;0;2;1
7132041;Giershausen;2;.;-;-;.;0;0
7132042;Grünebach;12;2;0;0;1;3;4
7132043;Güllesheim;14;0;1;0;3;6;4
7132044;Hamm (Sieg);129;20;7;1;9;25;48
7132045;Harbach;7;1;1;0;1;3;4
7132046;Hasselbach, Westerwald;6;1;0;0;0;2;1
7132047;Helmenzen;9;0;0;0;2;2;3
7132048;Helmeroth;4;1;2;0;.;3;1
7132049;Hemmelzen;6;3;0;0;1;1;0
7132050;Herdorf, Stadt;132;15;11;3;13;39;52
7132051;Heupelzen;2;.;1;0;0;0;0
7132052;Hilgenroth;6;0;1;0;0;2;1
7132053;Hirz-Maulsbach;8;1;0;0;1;4;3
7132054;Hövels;15;1;1;0;1;3;4
7132055;Horhausen (Westerwald);38;6;5;1;4;13;11
7132056;Idelberg;1;.;-;-;0;.;.
7132057;Ingelbach;8;0;1;0;0;3;2
7132058;Isert;0;.;-;-;0;.;.
7132059;Kausen;10;4;0;0;1;3;1
7132060;Kescheid;2;.;-;-;.;1;1
7132061;Kettenhausen;5;1;1;1;1;2;1
7132062;Kircheib;8;1;0;0;1;2;0
7132063;Kirchen (Sieg);230;48;14;2;17;63;79
7132064;Kraam;2;.;0;0;0;0;0
7132065;Krunkel;7;2;2;0;0;3;2
7132066;Malberg;18;1;3;0;2;5;9
7132067;Mammelzen;23;2;2;0;1;8;4
7132068;Mauden;2;0;-;-;.;2;.
7132069;Mehren, Westerwald;9;0;2;0;.;3;2
7132070;Michelbach (Westerwald);12;2;0;0;2;3;3
7132071;Molzhain;9;2;0;0;0;3;2
7132072;Mudersbach;139;19;9;1;10;42;51
7132073;Nauroth;27;1;1;0;2;7;10
7132074;Neitersen;14;2;0;0;1;4;2
7132075;Niederdreisbach;12;0;0;0;2;0;4
7132076;Niederfischbach;69;12;9;1;8;22;25
7132077;Niederirsen;4;.;-;-;0;1;3
7132078;Niedersteinebach;2;.;-;-;0;0;.
7132079;Nisterberg;6;.;1;0;1;1;1
7132080;Katzwinkel (Sieg);31;2;1;1;2;7;10
7132081;Obererbach (Westerwald);11;0;1;0;1;2;2
7132082;Oberirsen;11;1;1;0;1;2;3
7132083;Oberlahr;25;2;2;0;3;9;7
7132084;Obernau;11;2;2;0;1;5;4
7132085;Obersteinebach;3;.;-;-;1;1;0
7132086;Oberwambach;10;0;0;1;3;2;1
7132087;Ölsen;2;1;0;0;0;1;1
7132088;Orfgen;2;0;-;-;0;1;0
7132089;Peterslahr;4;.;0;0;.;1;1
7132090;Pleckhausen;9;1;1;0;1;3;1
7132091;Pracht;26;1;1;1;3;6;5
7132092;Racksen;1;.;-;-;.;.;1
7132093;Reiferscheid;6;2;1;0;1;0;0
7132094;Rettersen;7;2;1;0;0;2;2
7132095;Rosenheim (Altenk.);13;1;-;-;1;1;4
7132096;Roth b Hamm, Sieg;54;5;2;1;4;15;18
7132097;Rott, Westerwald;5;0;0;0;0;2;1
7132098;Scheuerfeld;56;8;4;1;5;15;17
7132099;Schöneberg, Westerwald;9;1;1;1;1;3;2
7132100;Schürdt;4;0;0;1;1;2;1
7132101;Schutzbach;8;2;0;0;1;2;3
7132102;Seelbach b Hamm (Sieg);3;.;-;-;.;2;0
7132103;Seelbach (Westerwald);6;.;1;0;0;2;2
7132104;Seifen;1;.;-;-;.;0;0
7132105;Selbach (Sieg);10;1;0;0;1;5;2
7132106;Sörth;5;0;1;0;0;3;1
7132107;Steinebach/Sieg;31;3;4;0;2;11;12
7132108;Steineroth;9;1;-;-;1;3;1
7132109;Stürzelbach;2;0;0;0;1;.;.
7132110;Volkerzen;4;0;1;0;.;1;1
7132111;Wallmenroth;26;5;2;0;3;8;8
7132112;Walterschen;3;1;-;-;.;.;1
7132113;Weitefeld;38;5;4;2;5;13;14
7132114;Werkhausen;3;.;-;-;1;0;1
7132115;Weyerbusch;25;2;1;0;3;5;2
7132116;Willroth;11;4;1;0;2;2;1
7132117;Wissen;279;75;20;7;30;60;95
7132118;Wölmersen;7;0;-;-;0;2;3
7132119;Ziegenhain;2;0;-;-;.;.;0
7132201;Berod bei Hachenburg;13;2;1;0;2;3;3
7132501;Altenkirchen (Westerwald);170;40;10;3;16;38;40
7133001;Abtweiler;3;.;1;0;0;1;1
7133002;Allenfeld;3;0;0;0;1;0;0
7133003;Altenbamberg;18;3;5;1;2;5;4
7133004;Argenschwang;6;.;1;1;1;2;1
7133005;Auen;5;.;2;0;.;1;2
7133006;Bad Kreuznach, verbandsfr. Gemeinde;2153;794;98;73;264;405;782
7133008;Bärenbach b Idar-Oberstein;5;0;-;-;1;2;2
7133009;Bärweiler;2;0;0;0;0;1;0
7133010;Becherbach bei Kirn;8;1;1;0;2;4;2
7133011;Becherbach;21;1;0;0;2;6;9
7133012;Biebelsheim;5;1;1;0;0;1;0
7133013;Bockenau;34;4;1;0;4;9;9
7133014;Boos, Nahe;7;.;0;0;1;2;1
7133015;Braunweiler;10;.;1;0;1;6;3
7133016;Brauweiler;1;.;-;-;.;.;.
7133017;Breitenheim;6;0;0;0;0;2;4
7133018;Bretzenheim;58;15;3;1;9;13;13
7133019;Burgsponheim;4;0;1;0;0;0;1
7133020;Callbach;14;2;2;0;1;4;4
7133021;Dalberg;3;.;1;0;.;2;0
7133022;Daubach, Hunsrück;3;.;0;0;.;1;1
7133023;Daxweiler;10;0;1;0;1;2;0
7133024;Desloch;9;.;2;0;.;3;4
7133025;Dörrebach;14;1;1;1;2;3;2
7133026;Dorsheim;14;2;0;1;2;4;5
7133027;Duchroth;9;1;1;0;1;3;2
7133028;Eckenroth;3;0;1;0;.;1;2
7133030;Feilbingert;27;3;0;0;5;6;8
7133031;Frei-Laubersheim;17;2;0;0;0;6;7
7133032;Fürfeld;28;3;3;1;2;9;7
7133033;Gebroth;2;.;-;-;.;1;1
7133035;Guldental;41;9;3;1;3;11;13
7133036;Gutenberg;18;3;2;0;1;8;7
7133037;Hackenheim;27;2;1;0;3;7;6
7133038;Hahnenbach;26;2;4;0;1;9;14
7133039;Hallgarten;12;.;0;0;0;3;2
7133040;Hargesheim;54;11;2;2;6;13;13
7133041;Heimweiler;7;1;0;0;1;2;4
7133042;Heinzenberg;0;.;-;-;.;.;.
7133043;Hennweiler;30;6;0;1;3;8;12
7133044;Hergenfeld;6;1;1;0;0;0;2
7133045;Hochstätten;16;1;0;0;1;4;4
7133046;Hochstetten-Dhaun;34;6;2;0;3;12;10
7133047;Horbach b Simmertal;1;.;-;-;0;.;.
7133048;Hüffelsheim;32;6;3;2;3;7;11
7133049;Hundsbach;5;0;-;-;0;1;2
7133050;Ippenschied;4;2;0;0;.;.;1
7133051;Jeckenbach;5;.;0;0;.;2;1
7133052;Kirn, verbandsfr. Gemeinde;464;112;14;9;45;96;205
7133053;Kirschroth;3;.;0;0;0;1;1
7133054;Langenlonsheim;83;20;5;4;10;25;24
7133055;Langenthal;2;.;-;-;.;0;2
7133056;Laubenheim;17;3;2;0;4;4;2
7133057;Lauschied;12;0;4;0;.;6;4
7133058;Lettweiler;4;.;0;0;0;2;1
7133059;Limbach b Kirn, Nahe;7;.;1;1;1;1;2
7133060;Löllbach;4;0;1;0;.;1;1
7133061;Mandel;16;1;2;0;1;4;6
7133062;Martinstein;17;5;0;1;3;4;4
7133063;Meckenbach b Kirn, Nahe;5;0;0;0;1;2;1
7133064;Meddersheim;23;0;3;0;2;12;7
7133065;Meisenheim;67;10;2;2;6;15;25
7133066;Merxheim;33;2;2;1;2;11;15
7133067;Monzingen;40;2;6;1;3;11;17
7133068;Münchwald;3;.;0;0;0;1;0
7133069;Neu-Bamberg;15;1;0;0;1;3;4
7133070;Niederhausen;13;1;0;0;0;6;5
7133071;Norheim;32;5;2;1;4;7;7
7133072;Nußbaum;7;0;0;0;1;5;2
7133073;Oberhausen bei Kirn;15;1;1;0;0;5;7
7133074;Oberhausen an d.Nahe;5;1;0;0;1;.;1
7133075;Oberstreit;5;0;0;1;1;1;2
7133076;Odernheim am Glan;42;3;4;2;4;6;18
7133077;Otzweiler;2;.;-;-;0;1;.
7133078;Pfaffen-Schwabenheim;28;2;2;1;2;6;12
7133080;Pleitersheim;5;.;0;0;1;2;1
7133081;Raumbach;16;2;1;0;2;4;4
7133082;Rehbach;.;.;-;-;.;.;.
7133083;Rehborn;13;.;2;1;1;4;5
7133084;Reiffelbach;6;.;-;-;1;3;2
7133085;Roth b Stromberg, Hunsrück;3;1;0;0;0;1;1
7133086;Roxheim;36;7;2;2;5;5;9
7133087;Rümmelsheim;28;2;2;0;1;9;7
7133088;Sankt Katharinen;6;0;1;0;1;2;3
7133089;Schloßböckelheim;5;.;2;0;.;2;1
7133090;Schmittweiler;5;.;0;0;2;.;.
7133091;Schöneberg, Hunsrück;12;3;1;0;1;4;4
7133092;Schweinschied;4;.;0;0;0;2;1
7133093;Schweppenhausen;17;4;1;0;1;3;4
7133094;Seesbach;13;0;1;0;0;3;7
7133095;Seibersbach;17;1;1;0;1;5;5
7133096;Simmertal;46;8;3;2;4;11;17
7133098;Sommerloch;4;.;-;-;0;1;0
7133099;Spabrücken;13;2;1;0;2;4;2
7133100;Spall;7;.;1;0;1;1;4
7133101;Sponheim;9;1;-;-;2;2;4
7133102;Staudernheim;35;4;2;1;4;7;11
7133103;Stromberg;68;15;5;2;5;15;20
7133104;Tiefenthal, Rheinhessen;1;.;-;-;.;.;1
7133105;Traisen;12;1;0;0;0;6;5
7133106;Volxheim;15;4;1;0;1;5;5
7133107;Waldböckelheim;46;3;1;2;4;12;17
7133108;Waldlaubersheim;9;0;2;0;2;2;0
7133109;Wallhausen, Kr Bad Kreuznach;20;7;1;1;3;7;5
7133110;Warmsroth;7;1;1;0;2;4;1
7133111;Weiler bei Monzingen;9;1;0;0;1;1;4
7133112;Weinsheim, Kr Bad Kreuznach;35;4;5;0;3;10;12
7133113;Weitersborn;3;.;0;0;1;.;1
7133114;Windesheim;30;7;4;0;2;7;7
7133115;Winterbach, Kr Bad Kreuznach;8;0;0;1;1;1;2
7133116;Winterburg;3;0;1;0;.;1;1
7133117;Rüdesheim;72;10;6;1;9;15;29
7133201;Bruschied;6;2;-;-;0;2;1
7133202;Kellenbach;4;.;1;0;.;1;2
7133203;Königsau;1;.;-;-;.;0;.
7133204;Schneppenbach;5;.;1;0;1;2;2
7133205;Schwarzerden;6;.;1;0;0;2;5
7133501;Bad Sobernheim;210;64;10;4;24;40;82
7134001;Abentheuer;7;0;0;0;1;2;3
7134002;Achtelsbach;8;.;2;1;1;2;3
7134003;Allenbach;5;0;1;0;0;2;0
7134004;Asbach, Hunsrück;1;.;-;-;.;1;1
7134005;Baumholder;152;32;8;5;14;38;46
7134006;Bergen b Kirn, Nahe;9;2;0;0;1;1;3
7134007;Berglangenbach;8;0;1;0;1;3;5
7134008;Berschweiler bei Baumholder;15;3;1;0;1;5;5
7134009;Berschweiler bei Kirn;3;1;1;0;.;2;0
7134010;Birkenfeld, Nahe;296;84;16;9;42;56;104
7134011;Börfink;4;.;0;0;.;1;1
7134012;Bollenbach;3;1;-;-;0;.;2
7134013;Breitenthal  b Idar Oberstein;4;.;2;0;.;2;1
7134014;Bruchweiler;5;1;0;0;.;1;2
7134015;Brücken;28;2;2;1;4;10;9
7134016;Buhlenberg;7;0;1;0;1;2;1
7134017;Bundenbach;18;0;1;1;1;7;8
7134018;Dambach;1;.;-;-;.;.;.
7134019;Dickesbach;6;.;0;0;0;1;2
7134020;Dienstweiler;4;0;0;0;0;0;1
7134021;Eckersweiler;2;1;1;0;.;0;1
7134022;Elchweiler;3;.;0;0;1;1;.
7134023;Ellenberg b Birkenfeld, Nahe;0;.;-;-;0;.;.
7134024;Ellweiler;6;1;2;0;1;1;2
7134025;Fischbach b Idar-Oberstein;22;0;3;0;2;4;8
7134026;Fohren-Linden;3;1;-;-;.;1;1
7134027;Frauenberg;6;0;0;0;0;0;3
7134028;Gerach b Idar-Oberstein;5;.;-;-;0;2;1
7134029;Gimbweiler;7;0;1;1;1;3;3
7134030;Gösenroth;1;.;-;-;.;.;.
7134031;Gollenberg;2;.;-;-;.;1;.
7134032;Griebelschied;3;1;0;0;0;1;1
7134033;Hahnweiler;5;.;1;0;0;3;2
7134034;Hattgenstein;4;0;0;0;0;1;1
7134035;Hausen, Hunsrück;7;2;1;0;0;2;4
7134036;Heimbach, Nahe;24;1;2;0;2;8;9
7134037;Hellertshausen;3;1;1;0;1;1;1
7134038;Herborn b Idar-Oberstein;13;4;1;0;1;3;4
7134039;Herrstein;16;1;0;0;2;7;9
7134040;Hettenrodt;9;0;-;-;1;3;1
7134041;Hintertiefenbach;2;.;0;0;0;1;0
7134042;Hoppstädten-Weiersbach;48;3;8;2;9;10;12
7134043;Horbruch;7;2;0;1;1;3;1
7134044;Hottenbach;9;.;1;0;0;4;2
7134045;Idar-Oberstein, verbandsfr. Gemeinde;1283;286;87;27;128;282;529
7134046;Kempfeld;14;0;1;0;1;3;7
7134047;Kirschweiler;11;1;0;0;1;3;4
7134048;Kronweiler;12;1;0;0;2;4;4
7134049;Krummenau;3;.;-;-;.;3;1
7134050;Leisel;7;.;1;0;1;1;2
7134051;Leitzweiler;6;2;1;0;1;3;3
7134052;Mackenrodt;3;.;0;1;1;1;0
7134053;Meckenbach Kr Birkenfeld, Nahe;3;1;1;0;.;2;2
7134054;Mettweiler;11;2;1;0;1;4;2
7134055;Mittelreidenbach;9;0;1;0;0;4;4
7134056;Mörschied;13;1;1;0;.;4;8
7134057;Niederbrombach;8;1;2;0;0;5;2
7134058;Niederhambach;4;1;-;-;.;0;1
7134059;Niederhosenbach;6;.;1;0;1;3;3
7134060;Niederwörresbach;7;0;1;0;1;0;5
7134061;Nohen;8;1;0;0;1;4;4
7134062;Oberbrombach;4;0;-;-;0;0;2
7134063;Oberhambach;5;0;2;0;1;1;2
7134064;Oberhosenbach;0;.;-;-;.;.;.
7134065;Oberkirn;6;.;1;0;.;2;2
7134066;Oberreidenbach;7;0;2;0;0;3;2
7134067;Oberwörresbach;0;.;-;-;.;0;.
7134068;Reichenbach, Kr Birkenfeld, Nahe;12;3;2;1;2;3;4
7134069;Rhaunen;44;3;5;4;6;14;14
7134070;Rimsberg;1;.;1;0;.;.;.
7134071;Rinzenberg;5;.;1;0;0;1;3
7134072;Rötsweiler-Nockenthal;6;1;0;0;0;1;2
7134073;Rohrbach, Nahe;3;.;0;0;1;1;0
7134074;Rückweiler;10;.;2;1;1;5;2
7134075;Ruschberg;21;1;3;1;2;5;4
7134076;Schauren b Idar-Oberstein;5;.;1;0;.;2;2
7134077;Schmidthachenbach;11;.;1;1;1;4;4
7134078;Schmißberg;6;.;1;0;0;2;2
7134079;Schwerbach;1;.;-;-;.;1;1
7134080;Schwollen;7;.;-;-;1;3;4
7134081;Sensweiler;8;.;3;0;1;3;2
7134082;Sien;9;1;1;0;1;3;5
7134083;Sienhachenbach;6;1;1;0;1;1;3
7134084;Siesbach;4;0;0;0;1;1;0
7134085;Sonnenberg-Winnenberg;13;1;1;0;2;4;5
7134086;Sonnschied;3;.;-;-;1;2;2
7134087;Stipshausen;20;1;2;1;2;6;9
7134088;Sulzbach b Idar-Oberstein;5;0;-;-;2;1;3
7134089;Veitsrodt;7;.;2;0;0;3;2
7134090;Vollmersbach;3;0;1;0;1;1;1
7134091;Weiden;3;.;-;-;0;2;0
7134092;Weitersbach;2;.;1;0;.;0;0
7134093;Wickenrodt;1;.;-;-;.;.;0
7134094;Wilzenberg-Hußweiler;5;.;0;0;1;1;2
7134095;Wirschweiler;12;0;1;0;0;4;5
7134502;Langweiler b Idar-Oberstein;5;0;0;0;0;2;2
7135001;Alf;20;4;0;0;2;6;8
7135002;Alflen;7;0;2;0;1;1;2
7135003;Altlay;6;0;1;0;.;3;2
7135004;Altstrimmig;4;0;0;0;0;2;1
7135005;Auderath;12;0;0;0;1;4;5
7135007;Beilstein, Mosel;5;3;-;-;1;0;.
7135008;Beuren, Eifel;4;0;0;0;0;1;0
7135009;Binningen;4;0;1;0;0;1;0
7135010;Blankenrath;26;2;1;1;3;8;5
7135011;Brachtendorf;3;0;1;0;0;2;1
7135012;Bremm;8;1;1;0;0;2;1
7135013;Briedel;15;1;1;1;1;4;4
7135014;Brieden;1;.;0;0;0;0;0
7135015;Briedern;6;1;0;0;0;2;.
7135016;Brohl;4;.;0;1;1;0;3
7135017;Bruttig-Fankel;19;7;0;0;2;5;4
7135018;Büchel b Cochem;10;1;1;1;2;2;0
7135019;Bullay;28;15;1;1;3;6;7
7135020;Cochem, Stadt;159;69;11;3;17;32;24
7135021;Dohr;8;1;1;0;1;3;1
7135022;Dünfus;2;.;0;0;0;0;0
7135023;Düngenheim;15;2;1;0;2;5;4
7135024;Ediger-Eller;12;3;1;0;1;5;3
7135025;Ellenz-Poltersdorf;9;3;0;0;0;3;0
7135026;Eppenberg;4;1;1;0;0;1;1
7135027;Ernst;4;1;-;-;0;2;1
7135028;Eulgem;7;0;1;0;2;1;1
7135029;Faid;12;1;3;0;1;4;1
7135030;Filz;3;.;-;-;.;1;1
7135031;Forst (Eifel);5;0;1;0;0;2;1
7135032;Forst (Hunsrück);1;.;-;-;.;.;.
7135033;Gamlen;7;1;2;0;1;3;2
7135034;Gevenich;15;3;0;0;2;6;4
7135035;Gillenbeuren;3;.;1;0;.;1;.
7135036;Greimersburg;6;1;2;0;1;2;.
7135037;Grenderich;2;0;0;0;1;0;.
7135038;Hambuch;6;0;1;0;1;3;2
7135039;Haserich;5;0;3;0;0;3;3
7135040;Hauroth;10;1;0;0;1;4;3
7135041;Hesweiler;2;.;-;-;.;.;1
7135042;Illerich;5;0;1;0;1;2;1
7135043;Kaifenheim;11;1;1;1;1;4;4
7135044;Kail;4;0;-;-;0;1;1
7135045;Kaisersesch;56;10;5;1;5;14;18
7135046;Kalenborn b Kaisersesch;1;.;0;0;0;.;.
7135048;Kliding;1;.;-;-;0;.;0
7135049;Klotten;28;14;2;0;2;6;4
